crop,test_rows,mae,rmse
apple,20,5.704709020726028,7.346673576239927
banana,20,5.048093714930702,7.012954654550696
blackgram,20,10.1374531274547,13.1530815164318
chickpea,20,7.76506035145996,11.106552971398887
coconut,20,5.376855433960527,7.053682812254152
coffee,20,4.844698823184182,6.562443185901505
cotton,20,4.730163073819243,7.45146761961928
grapes,20,4.240321170600988,5.40351387661167
jute,20,9.43995783949357,11.600421168526738
kidneybeans,20,8.167781927111964,10.091866909997474
lentil,20,11.112838549711222,13.389736692941693
maize,20,6.77892750855249,7.728841763565306
mango,20,5.245400805147794,7.169754270211707
mothbeans,20,10.059515478672745,15.887478940887984
mungbean,20,4.2400382828023355,5.24796215820112
muskmelon,20,2.7469715089819013,4.2617171976200785
orange,20,6.008200878025581,7.198829962109381
papaya,20,11.619707413484992,14.872426337371019
pigeonpeas,20,10.942493750623749,14.491956728255818
pomegranate,20,10.589748316519186,13.474678061640187
rice,20,6.2315936540309025,9.27648653198823
watermelon,20,7.465755659982959,9.74552699351511
