model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
RandomForest,0.9931818181818182,0.9935064935064936,0.993181818181818,0.9931775541531639,0.9931775541531639
XGBoost,0.9886363636363636,0.9893742621015349,0.9886363636363636,0.9884930494686592,0.9884930494686593
LogisticRegression,0.9727272727272728,0.9740217299040829,0.9727272727272727,0.9724640256149183,0.9724640256149185
RandomForest_700Trees,0.9931818181818182,0.9935064935064936,0.993181818181818,0.9931775541531639,0.9931775541531639
